	Award Name	Award Organization	Award Keywords: 	Award Level: Assistant, Associate, Full, Senior, Age, Date of Degree, Lifetime, Groups/Team, Young Investigator	Award Details	Due date	Previous Rob Nominees/Year or Winner/Year	Candidates to Consider	Nominee	Nominator and Supporting Letter Writers (as applicable)	Link to Submission Info														
	Thurnau Professorship	UM	Outstanding contributions to undergraduate education			12/1/2023	Girard 2024				https://provost.umich.edu/resources-policies/faculty-resources/honors-awards/arthur-f-thurnau-professorships/														
	"Service Excellence Awards
 (1) Trudy Huebner Service Excellence Award
 (2) Herbert Kopf Service Excellence Award
 (3) Monroe-Brown Foundation Service Excellence Award"	CoE	Demonstrated significant service contribution at the College and/or University levels	Assistant Professors, Associate Professors, Professors, Associate Research Professors, and Research Professors with at least a 0.5 appointment in the College of Engineering for the entire academic year	Demonstrated significant service contribution at the College and/or University levels, including the development of new extracurricular programs; advising student societies and student groups with major projects; program advisor; visiting high schools, junior colleges, and other groups to inform them about the College or University; contributions to the functioning of the College as exemplified by service on major committees, leadership roles, and interfacing between the College and the outside communities (city, state, nation, world). The service recognized by this award should not have been performed as part of an administrative appointment.	10/30/2020	Chad 2017, Ben 2019, Bobby 2021		Bobby	Dawn, Jessy, Denise, Nikko van Crey 	https://drive.google.com/drive/folders/11wqaXNVVF6KaZMgblVjS7rahX8Oq6OWN?usp=drive_link														
Blavatnik National Awards for Young Scientists	Raymond J. & Monica E. Schultz Outreach &Diversity Award	CoE	A deep and sustained commitment to outreach and diversity	All levels, instructional & research track & lecturers	A deep and sustained commitment to outreach and diversity as an important part of the University’s educational mission as demonstrated by academic and outreach programs that show intellectual excellence and diversity in service, teaching, and scholarship.	10/31/23																			
	"Education and Teaching Awards
 (1) Monroe-Brown Foundation Education Excellence Award
 (2) John F. Ullrich Education Excellence Award
 (3) Vulcans Education Excellence Award
 (4) Jon R. and Beverly S. Holt Excellence in Teaching Award – 2 Awards
 (6) Thomas M. Sawyer, Jr. Teaching Award (non-tenure-track faculty members only)"	CoE	Teaching awards are more focussed on Q1/Q2; Education Awards are focussed on more on broader initiatives, curriculum development.	Faculty members with at least a 0.5 appointment in the College of Engineering for the entire academic year. Faculty members who hold a Thurnau Professorship are ineligible	Demonstrated sustained excellence in curricular development, instruction & guidance at both the undergrad and graduate levels. This includes demonstrated excellence in graduate student supervision; the development of new courses, teaching labs, teaching techniques, textbooks & software; enhancement of technical communications skills among the faculty & students; bringing research into the classroom; contextual learning; and dedication to students, particularly in one-on-one pedagogy	10/31/2023	Remy 2017	Peter, Maani and Jessy, Leia	Talia		https://drive.google.com/drive/folders/1kN4F3acxTMUADfNggNoP7Nrg37NZ74ZR?usp=drive_link														
	H. Scott Fogler Professional Leadership & Service Award	CoE	Significant national or international impact on the field of engineering through leadership or service external to the College of Engineering	Assistant Professors, Associate Professors, Professors, Lecturers, as well as Research Scientists and Research Professors of all ranks with at least a 0.5 appointment in the College of Engineering for the entire academic year	Significant national or international impact on the field of engineering through leadership or service external to the College of Engineering. Demonstrated leadership and service with professional societies and organizations, governments, or other public or private non-governmental organizations, and/or authoring of definitive texts within the field of engineering. Demonstrated impact of this service and leadership through confirmed outcomes and/or external recognition of contributions.	10/31/2023		Dawn																	
	Edward Law Emeritus Outstanding Service	CoE	Emeritus	Faculty members who have held the title of Emeritus or Emerita Prof., Emeritus or Emerita Research Prof., or Emeritus or Emerita Research Scientist for 2 or more years	Recognizes an emeritus or emerita faculty member who has continued to provide valuable service, which may include teaching and research to the COE after retirement	10/31/2023																			
	Rexford E. Hall Innovation Excellence Award	CoE	Innovation, Entrepreneurship, Societal Impact	Assistant Professors, Associate Professors, and Professors as well as Research Scientists and Research Professors of all ranks with at least a 0.5 appointment in the College of Engineering for the entire academic year	The award recognizes any of the following accomplishments: a) developed a breakthrough technology and demonstrated its transformational potential in engineering practice or the market; b) taken significant innovation developed, in part, within the College through to market readiness, either through partnership with a commercial enterprise or by starting a company; c) taken significant innovations developed, in part, within the College and deployed them towards societal good. This award is intended to recognize entrepreneurial aspects of innovation that fall outside the scope of innovation in basic research, education, and service.	10/31/2023		Jason																	
	Wise-Najafi Prize for Engineering Excellence in the Miniature World Award	CoE	exceptional creativity in the science and engineering of miniaturization	Tenure-track and research-track faculty members of any rank,	Outstanding research and scholarship related to engineering at the meso-scale, micron-scale, nano-scale, and beyond. Consideration will be given to candidates who have shown exceptional creativity in the science and engineering of miniaturization.	10/31/2023																			
	"Research Excellence Awards
 (1) George J. Huebner, Jr. Research Excellence Award
 (2) David E. Liddle Research Excellence Award
 (3) Monroe-Brown Foundation Research Excellence Award"	CoE	Research excellence & related scholarly activities	Assistant Professors, Associate Professors, and Professors with at least a 0.5 appointment in the College of Engineering for the entire academic year.	Demonstrated sustained excellence in research and related scholarly activities.	10/31/2023	Leia 2020		Mika	Dawn, Anouck, Necmiye, and Ilya	https://drive.google.com/drive/folders/1MLzCB9829QerJMuPDWdLRoFsi34rrtBf?usp=drive_link														
	Kenneth M. Reese Outstanding Research Scientist Award	CoE	Demonstrated sustained excellence in research and related scholarly activities.	Assistant Research Scientists, Associate Research Scientists, and Research Scientists, and Research Associate and Research Professors	Demonstrated sustained excellence in research and related scholarly activities.	10/31/2023																			
	Ted Kennedy Family Faculty Team Excellence Award	CoE	Any engineering field	A team must contain at least two faculty members (tenure track, research track, lecturer, or prof. of engineering practice, any rank) with at least 0.5 appointments in the College of Engineering	Production of an extraordinary and significant piece of work from current or recent collaboration in teaching or research to the College of Engineering.	10/31/2023																			
	1938E Award	CoE	Strong combination of teaching, research, service, and impact	Assistant Prof.	in recognition of an outstanding teacher in both elementary and advanced courses, an understanding counselor of students who seek guidance in their choice of career, a contributor to the educational growth of his or her College, and a teacher whose scholarly integrity pervades his or her service to the University and the profession of Engineering.	10/31/2023	Necmiye 2017, Ram 2018, Ram 2019, Elliott 2020,		Katie		https://drive.google.com/drive/folders/1BSUeFqLxpVKuLshyUae-lUV7npr5BQHW?usp=drive_link														
	Stephen S. Atwood Award	CoE	achievement in teaching, research, service	Assistant Professors, Associate Professors, and Professors with at least a 0.5 appointment in the College of Engineering	"Extraordinary achievement in teaching, research, service, and
other activities that have brought distinction to the College and
University."	10/31/2023																			
	North Campus Dean's MLK Spirit Award	CoE		faculty, staff, students, postdocs and student organizations	acknowledge and honor the outstanding individuals and groups in our community who embody Dr. King's leadership, vision and our shared values	11/13/2023	Yves Nazon 2022, Jessy 2022, Chad 2019				https://culture.engin.umich.edu/an-inclusive-campus/mlk-spirit-awards/														
	President's Award for National and State Leadership	UM		tenure/tenure track or an individual research faculty	honor sustained faculty leadership that creates and impacts change for the benefit of our local, state, national, and global communities.	12/8/2023	Ella 2018																		
	President's Award for Public Impact.	UM		tenure/tenure track or an individual research faculty	honor sustained faculty leadership that creates and impacts change for the benefit of our local, state, national, and global communities.	12/8/2023																			
	Robotics Medal	MassRobotics	women, acheivement, impact	Full, Senior, Lifetime	Annual award is presented to a female researcher for substantial achievements and contributions in the field of robotics and comes with a $50K prize.	12/20/2023			Dawn Tilbury	Jessy Grizzle; Khargonekar, Alleyne, Shankar, Murray	https://docs.google.com/forms/d/e/1FAIpQLSd9hrl4uKBgtb2evwip6WFJBakimDpyD3IorVa_08vrc0L6iQ/viewform														
	Rising Star	MassRobotics	early-career, research, women	Young Investigator, Assistant, Associate	Presented to an early-career professional woman making strides in research that will lead to significant impact in the field of robotics and is accompanied by a $5K prize.	12/20/2023			Talia Moore	Dawn Tilbury; Koditschek, Rouse	https://docs.google.com/forms/d/e/1FAIpQLScEQMgjZrIMwj0SEZoMUVVTgmTiieXEayfwWXLZAQhJdhfskg/viewform														
	Rackham Masters Mentoring Award	Rackham		Nominees may be a tenured or tenure-track faculty member, or a lecturer, clinical, or research faculty member. 	The Rackham Master’s Mentoring Awards recognize faculty from any discipline who are outstanding mentors to master’s students, particularly for those in programs for which the master’s is the terminal degree.	1/22/2024			Katie Skinner	Brent Gillespie	https://rackham.umich.edu/faculty-and-staff/awards/masters-mentoring-award/														
	Staff Excellence Award	CoE	staff	All full and part time regular, non-faculty employees	Recipients of the Staff Excellence Award and Team Excellence Award are chosen on the basis of their exemplary work or special achievements. The awards are intended to serve as tangible evidence of the College’s appreciation of its outstanding staff members.	2/9/2024	Dan Newman/2023	Senthur Ayyappan (needed HR to convert to full-time / grant required waiting, will be 2025 nominee), Alyssa Emigh, Juri Miyamae	Alyssa Emigh; Juri Miyamae	Chris Gordon / Talia Moore	https://rpm.engin.umich.edu/staff-awards-2/														
	Team Staff Excellence Award	CoE	staff	All full and part time regular, non-faculty employees		2/9/2024	Undergrad Team/2023				https://rpm.engin.umich.edu/staff-awards-2/														
	Distinguished Faculty Achievement Awards	Rackham		Faculty with the rank of (full) professor may be nominated. Nominations of outstanding women, minorities and members of other groups historically underrepresented in their disciplines are encouraged.	The Distinguished Faculty Achievement Awards honor senior faculty who have consistently demonstrated outstanding achievements in scholarly research and/or creative endeavors, have a record of sustained excellence in teaching and mentoring of students and junior colleagues, and, through service and other professional activities, have brought distinction to themselves and to the University of Michigan.	2/12/2024					https://rackham.umich.edu/faculty-and-staff/awards/distinguished-faculty-achievement-awards/														
	Faculty Recognition Awards	Rackham		Tenured associate professors, or full professors with no more than four years in rank, may be nominated for these awards. Nominations of outstanding women, minorities and members of other groups historically underrepresented in their disciplines are encouraged.	The Faculty Recognition Awards are for mid-career faculty who have demonstrated outstanding achievements in scholarly research and/or creative endeavors; excellence as a teacher, advisor and mentor; and distinguished participation as a conscientious and engaged citizen of their department, school/college, the University, and elsewhere.	2/12/2024		Bobby	Bobby Gregg	Dawn Tilbury	https://rackham.umich.edu/faculty-and-staff/awards/faculty-recognition-awards/														
	IEEE Fellows	IEEE				3/1/2024		Chad, Kira, Anouck, Jason			https://www.ieee.org/membership/fellows/fellows-nomination.html														
	Distinguished University Professorships	Rackham		Nominees must have the rank of full professor. Nominations of outstanding women, minorities and members of other groups historically underrepresented in their disciplines are encouraged.	Nominees must be recognized nationally and internationally for scholarly achievement in their field of study and/or creative endeavors, for having broad scholarly interests and originality as scholars, for superior teaching skills and for excellence as a mentor to graduate students and junior colleagues	3/4/2024					https://rackham.umich.edu/faculty-and-staff/awards/distinguished-university-professorships/														
	Henry Russel Award	Rackham		"Eligible nominees must meet at least one of the following two criteria:

Be tenure-track instructional faculty at the University of Michigan for no more than six years at the time of nomination, with the rank of assistant professor or associate professor.
Be tenure-track instructional faculty at the University of Michigan with the rank of assistant professor at the time of nomination.
Nominations of outstanding women, minorities and members of other groups historically underrepresented in their disciplines are encouraged."	This award recognizes faculty early in their academic careers who already have demonstrated an extraordinary record of accomplishment in scholarship, research, and creativity and have also demonstrated excellence as a teacher.	3/11/2024		Talia (self nom), Lionel (self nom)	Talia Moore	Dawn Tilbury	https://rackham.umich.edu/faculty-and-staff/awards/henry-russel-award/														
	Henry Russel Lectureship	Rackham		Nominees must be senior faculty with the rank of full professor. They must be active members of the faculty when nominated and at the time of delivering the Russel Lecture, usually in the following academic year. Nominations of outstanding women, minorities and members of other groups historically underrepresented in their disciplines are encouraged.	The award recognizes a senior faculty member who has made exceptional contributions to research, scholarship and creative endeavors; who has an outstanding record as an educator in teaching and mentoring, and who has a national and international reputation for excellence that brings distinction to the University of Michigan.	3/11/2024		Lionel (self nom)	Lionel Robert	Dawn Tilbury	https://rackham.umich.edu/faculty-and-staff/awards/henry-russel-lectureship/														
	LEO Lecturer Excellence in Inclusive Teaching	LEO	lecturer		This award is open to all Lecturers regardless of title or appointment effort and is designed to award a lecturer who demonstrates a sustained record of excellence in inclusive teaching and learning practices and/or in service or other contributions to the inclusive teaching goals of the University.	3/29/24	Peter declined to be nominated in 2023				https://adaa.engin.umich.edu/wp-content/uploads/sites/22/2022/12/2023-24-CoE-LEIT-Award-Guidelines-and-Procedure.pdf														
