Award Name	Award Organization	Start Date	Due date	Nominee(s)	Led by Committee	Win	Link to Submission Info	Notes
Candace Johnson Award for Staff Excellence	UM HR		10/11/2024					
Distinguished Diversity Leaders	UM HR		10/18/2024					
CEW+ Inspire Awards	CEW+	10/1/2025	10/27/2025					500+ words and 2-3 LOR
Service Excellence Awards	CoE	9/21/2025	10/30/2024	Leia			Leia Stirling - CoE Service	Dawn asking IOE to lead co-nomination
Raymond J. & Monica E. Schultz Outreach &Diversity Award	CoE	9/21/2025	10/30/2024					
Education and Teaching Awards	CoE	9/21/2025	10/30/2024					
Education and Teaching Awards	CoE	9/21/2025	10/30/2024					
Education and Teaching Awards	CoE	9/21/2025	10/30/2024					
H. Scott Fogler Professional Leadership & Service Award	CoE	9/21/2025	10/30/2024	Bobby			Bobby Gregg - CoE Fogler	Asking Elliott to be nominator
Edward Law Emeritus Outstanding Service	CoE	9/21/2025	10/30/2024					
Rexford E. Hall Innovation Excellence Award	CoE	9/21/2025	10/30/2024	Jason, but ineligible				Asking Jessy to be nominator
Wise-Najafi Prize for Engineering Excellence in the Miniature World Award	CoE	9/21/2025	10/30/2024					
Research Excellence Awards	CoE	9/21/2025	10/30/2024	Ram			Ram Vasudevan - CoE Research	Jason to be nominator
Kenneth M. Reese Outstanding Research Scientist Award	CoE	9/21/2025	10/30/2024					
Ted Kennedy Family Faculty Team Excellence Award	CoE	9/21/2025	10/30/2024					
1938E Award	CoE	9/21/2025	10/30/2024	Katie			Katie Skinner - CoE 1938E	Asking Mika to be nominator
